,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
2013-01-01,11.0,49260.0,557.0,8.0,12664.0,27.0,1672.0,51089.0,1027.0,24.0,16830.0,34296.0,1239.0,26632.0,23974.0,10963.0,12.0,54352.0,10321.0,601.0,25645.0,27.0,681.0,13483.0,921.0,13.0,13.0,694.0,13.0,8.0,72.0,516.0,63.0,6.0,12.0,15.0,11.0,8490.0,3.0,1771.0,20365.0,497.0,508.0,31.0,0.0,370.0,410.0,0.0,11.0,31.0,30.0,42679.0,25897.0,31.0,519.0,18.0,28.0,80.0,736.0,2768.0,424.0,27.0,14.0,10698.0,21.0,356.0,389.0,2274.0,579.0,21.0,16.0,706.0,5.0,593.0,945.0,30.0,1022.0,1441.0,917.0,18.0,14.0,1383.0,307.0,23.0,22.0,946.0,362.0,16.0,0.0,69.0,13.0,40.0,24.0,6.0,10.0,0.0,1.0,16.0,18.0,456.0,0.0,595.0,0.0,15.0,410.0,935.0,0.0,2.0,325.0,7.0,19.0,22.0,33.0,967.0,547.0,32.0,19.0,72.0,49.0,35.0,427.0,28.0,14.0,338.0,493.0,242.0,31.0,42.0,228.0,0.0,26.0,28.0,19.0,24.0,19.0,15.0,17.0,0.0,38.0,320.0,32.0,50.0,29.0,5.0,51.0,209.0,9.0,18.0,9.0,261.0,42.0,17.0,5.0,0.0,525.0,169.0,65.0,23.0,0.0,21.0,20.0,15.0,0.0,0.0,31.0,29.0,44.0,31.0,8.0,0.0,25.0,36.0,41.0,0.0,46.0,0.0,29.0,17.0,47.0,0.0,156.0,34.0,81.0,35.0,26.0,119.0,0.0
2013-01-08,9.0,59586.0,3430.0,5.0,14304.0,22.0,10562.0,59840.0,5557.0,25.0,19262.0,35237.0,7516.0,26201.0,26675.0,13144.0,7.0,63254.0,11951.0,3542.0,23425.0,32.0,4212.0,14767.0,5453.0,22.0,16.0,3701.0,13.0,25.0,80.0,3053.0,68.0,47.0,36.0,21.0,13.0,8465.0,8.0,10833.0,15385.0,3009.0,2849.0,37.0,12.0,2362.0,2287.0,0.0,25.0,17.0,49.0,53891.0,34379.0,32.0,2742.0,24.0,46.0,93.0,1393.0,16917.0,2474.0,31.0,42.0,11632.0,29.0,2088.0,2505.0,13442.0,3280.0,23.0,12.0,4102.0,10.0,3174.0,5142.0,45.0,5599.0,8686.0,5421.0,26.0,8.0,8631.0,1676.0,18.0,22.0,5499.0,2075.0,15.0,10.0,31.0,7.0,9.0,40.0,18.0,18.0,36.0,10.0,21.0,23.0,2549.0,41.0,3427.0,78.0,10.0,2636.0,5930.0,51.0,14.0,1773.0,5.0,18.0,16.0,52.0,5330.0,3370.0,40.0,10.0,40.0,17.0,53.0,2082.0,28.0,17.0,2095.0,2831.0,1327.0,21.0,48.0,1382.0,11.0,20.0,11.0,13.0,29.0,13.0,17.0,19.0,17.0,37.0,1698.0,30.0,63.0,21.0,6.0,60.0,1250.0,9.0,21.0,13.0,1645.0,32.0,8.0,10.0,30.0,2773.0,1187.0,32.0,9.0,9.0,18.0,21.0,12.0,59.0,54.0,22.0,22.0,21.0,18.0,14.0,23.0,18.0,13.0,16.0,70.0,37.0,182.0,22.0,28.0,18.0,7.0,197.0,60.0,33.0,45.0,10.0,56.0,0.0
2013-01-15,17.0,41812.0,3448.0,0.0,13261.0,33.0,10077.0,50093.0,5643.0,31.0,16748.0,29978.0,7575.0,22166.0,26056.0,12221.0,9.0,51008.0,10920.0,3704.0,22030.0,26.0,4051.0,13513.0,5345.0,22.0,0.0,3568.0,6.0,0.0,45.0,3129.0,143.0,33.0,12.0,26.0,13.0,7593.0,0.0,10189.0,13617.0,3205.0,3480.0,57.0,0.0,3320.0,2465.0,0.0,6.0,5.0,50.0,43016.0,30013.0,33.0,2831.0,38.0,43.0,94.0,0.0,16496.0,2675.0,30.0,44.0,10824.0,25.0,2156.0,2397.0,12867.0,1382.0,28.0,0.0,4314.0,7.0,3351.0,4852.0,63.0,5498.0,3628.0,5102.0,20.0,28.0,3414.0,1756.0,28.0,35.0,5328.0,2294.0,17.0,0.0,59.0,24.0,26.0,16.0,3.0,24.0,0.0,0.0,26.0,15.0,2456.0,0.0,1316.0,0.0,0.0,1112.0,5701.0,0.0,20.0,1873.0,5.0,9.0,0.0,59.0,1642.0,3233.0,35.0,22.0,58.0,0.0,55.0,2096.0,39.0,25.0,1996.0,2946.0,1277.0,22.0,66.0,1459.0,0.0,17.0,14.0,3.0,25.0,0.0,54.0,0.0,0.0,41.0,1880.0,27.0,86.0,0.0,4.0,87.0,1349.0,0.0,0.0,0.0,1662.0,0.0,0.0,25.0,0.0,2565.0,1077.0,0.0,0.0,0.0,53.0,14.0,17.0,0.0,0.0,51.0,74.0,0.0,38.0,0.0,0.0,34.0,0.0,0.0,0.0,87.0,0.0,68.0,37.0,0.0,0.0,144.0,28.0,44.0,0.0,0.0,0.0,1.0
2013-01-22,11.0,58143.0,3297.0,0.0,14802.0,17.0,9883.0,58731.0,5461.0,22.0,18345.0,31589.0,7760.0,23159.0,27613.0,12884.0,13.0,60391.0,12098.0,3922.0,22138.0,31.0,4073.0,14726.0,5054.0,22.0,0.0,3520.0,17.0,0.0,44.0,3081.0,129.0,33.0,10.0,26.0,8.0,7803.0,0.0,10140.0,13733.0,3221.0,4002.0,51.0,0.0,4113.0,2425.0,0.0,4.0,4.0,52.0,50419.0,33212.0,36.0,2957.0,24.0,30.0,83.0,0.0,16218.0,2588.0,35.0,47.0,11462.0,22.0,1969.0,2506.0,12484.0,0.0,21.0,0.0,4229.0,8.0,3351.0,4538.0,52.0,5177.0,0.0,4864.0,25.0,27.0,0.0,1758.0,15.0,38.0,5216.0,2225.0,21.0,0.0,83.0,20.0,27.0,19.0,3.0,18.0,0.0,0.0,22.0,15.0,2518.0,0.0,0.0,0.0,0.0,0.0,5304.0,0.0,9.0,1774.0,7.0,6.0,0.0,58.0,0.0,2890.0,35.0,15.0,64.0,0.0,45.0,1900.0,62.0,27.0,1907.0,2862.0,1193.0,17.0,48.0,1468.0,0.0,43.0,60.0,14.0,21.0,0.0,46.0,0.0,0.0,41.0,1735.0,26.0,81.0,0.0,3.0,75.0,1406.0,0.0,0.0,0.0,1412.0,0.0,0.0,21.0,0.0,2478.0,1097.0,0.0,0.0,0.0,43.0,21.0,17.0,0.0,0.0,50.0,47.0,0.0,34.0,0.0,0.0,37.0,0.0,0.0,0.0,56.0,0.0,57.0,34.0,0.0,0.0,162.0,47.0,61.0,0.0,0.0,0.0,6.0
2013-01-29,11.0,56175.0,3092.0,11.0,16234.0,29.0,9639.0,59675.0,5552.0,33.0,19658.0,33863.0,7647.0,26164.0,30159.0,14179.0,17.0,61621.0,11852.0,3767.0,24176.0,48.0,3781.0,14192.0,4872.0,20.0,8.0,3301.0,20.0,0.0,58.0,2741.0,151.0,27.0,14.0,26.0,17.0,9693.0,0.0,9766.0,16767.0,3109.0,3765.0,46.0,0.0,3727.0,2231.0,0.0,6.0,17.0,46.0,48458.0,31723.0,34.0,2665.0,35.0,45.0,84.0,0.0,15506.0,2269.0,39.0,51.0,12739.0,42.0,1950.0,2339.0,12115.0,22.0,39.0,4.0,3823.0,15.0,3124.0,4558.0,57.0,4550.0,61.0,4621.0,26.0,22.0,54.0,1694.0,33.0,38.0,4984.0,2016.0,31.0,0.0,103.0,13.0,55.0,25.0,8.0,23.0,0.0,0.0,30.0,22.0,2275.0,0.0,59.0,0.0,0.0,23.0,4945.0,0.0,6.0,1687.0,6.0,18.0,0.0,48.0,51.0,2723.0,60.0,22.0,103.0,13.0,68.0,1780.0,52.0,25.0,1871.0,2629.0,1118.0,28.0,66.0,1363.0,0.0,28.0,43.0,15.0,31.0,2.0,56.0,0.0,0.0,50.0,1782.0,28.0,92.0,7.0,8.0,110.0,1258.0,4.0,0.0,1.0,1205.0,35.0,0.0,23.0,0.0,2375.0,965.0,0.0,0.0,0.0,51.0,20.0,13.0,0.0,0.0,54.0,65.0,0.0,42.0,0.0,0.0,36.0,10.0,9.0,0.0,91.0,0.0,68.0,41.0,47.0,0.0,160.0,52.0,78.0,10.0,0.0,116.0,9.0
2013-02-05,23.0,58404.0,2945.0,18.0,12845.0,24.0,9150.0,59208.0,5242.0,26.0,19286.0,35361.0,7051.0,27205.0,29533.0,13812.0,5.0,63193.0,11459.0,3724.0,23740.0,36.0,3390.0,14496.0,4704.0,12.0,15.0,3021.0,9.0,24.0,72.0,2569.0,53.0,27.0,22.0,14.0,13.0,9182.0,20.0,9166.0,16653.0,2784.0,3714.0,30.0,5.0,3332.0,1943.0,0.0,25.0,33.0,43.0,53875.0,32612.0,35.0,2464.0,20.0,36.0,82.0,1938.0,14524.0,2078.0,22.0,32.0,12497.0,21.0,1712.0,2043.0,11139.0,25.0,19.0,18.0,3785.0,5.0,2809.0,4144.0,31.0,4291.0,100.0,4250.0,19.0,28.0,81.0,1582.0,12.0,21.0,4713.0,1856.0,21.0,10.0,36.0,5.0,13.0,21.0,8.0,19.0,22.0,12.0,20.0,23.0,2180.0,35.0,97.0,68.0,18.0,34.0,4535.0,39.0,13.0,1669.0,5.0,11.0,16.0,63.0,60.0,2517.0,28.0,12.0,82.0,59.0,29.0,1631.0,25.0,13.0,1885.0,2383.0,1044.0,27.0,32.0,1276.0,7.0,25.0,17.0,30.0,22.0,20.0,8.0,37.0,16.0,41.0,1513.0,39.0,67.0,45.0,3.0,27.0,1186.0,12.0,34.0,16.0,1184.0,32.0,19.0,16.0,39.0,2328.0,922.0,114.0,32.0,4.0,20.0,31.0,26.0,25.0,48.0,11.0,14.0,42.0,42.0,23.0,21.0,19.0,32.0,48.0,36.0,17.0,165.0,29.0,11.0,30.0,6.0,229.0,50.0,63.0,39.0,24.0,67.0,6.0
2013-02-12,20.0,53827.0,3055.0,31.0,14592.0,26.0,9102.0,54671.0,5048.0,27.0,20037.0,34689.0,6987.0,25733.0,27884.0,13557.0,17.0,51682.0,11104.0,3597.0,23280.0,29.0,3648.0,15181.0,4887.0,24.0,8.0,2925.0,27.0,1.0,85.0,2713.0,78.0,52.0,32.0,31.0,14.0,8812.0,3.0,9202.0,16442.0,2836.0,3690.0,41.0,2.0,2890.0,1988.0,0.0,13.0,29.0,45.0,50572.0,31908.0,40.0,2527.0,31.0,31.0,83.0,151.0,14535.0,2081.0,33.0,47.0,12050.0,26.0,1728.0,2087.0,11221.0,35.0,27.0,0.0,3981.0,23.0,2897.0,4060.0,48.0,4543.0,217.0,4125.0,22.0,35.0,165.0,1478.0,21.0,27.0,4643.0,1755.0,36.0,1.0,50.0,25.0,29.0,23.0,13.0,66.0,9.0,0.0,17.0,18.0,2139.0,15.0,431.0,3.0,4.0,311.0,4785.0,0.0,17.0,1661.0,13.0,18.0,2.0,48.0,39.0,2660.0,37.0,15.0,55.0,0.0,39.0,1594.0,24.0,29.0,1762.0,2377.0,1097.0,28.0,67.0,1255.0,1.0,28.0,29.0,11.0,35.0,1.0,38.0,1.0,5.0,46.0,1528.0,29.0,75.0,0.0,6.0,68.0,1161.0,0.0,1.0,2.0,1088.0,290.0,0.0,28.0,3.0,2144.0,884.0,4.0,0.0,1.0,53.0,18.0,24.0,2.0,2.0,48.0,57.0,1.0,29.0,4.0,1.0,28.0,0.0,3.0,2.0,76.0,10.0,33.0,54.0,1.0,1.0,126.0,39.0,47.0,0.0,1.0,5.0,3.0
2013-02-19,21.0,56683.0,2843.0,23.0,12414.0,46.0,8348.0,54580.0,4911.0,63.0,18670.0,34604.0,6466.0,27080.0,27570.0,12690.0,25.0,54215.0,11769.0,3265.0,23436.0,44.0,3274.0,13616.0,4358.0,25.0,10.0,2824.0,24.0,0.0,117.0,2621.0,117.0,20.0,40.0,26.0,20.0,8156.0,0.0,8931.0,16026.0,2807.0,2893.0,67.0,0.0,1865.0,1753.0,0.0,21.0,46.0,39.0,48648.0,33227.0,40.0,2273.0,31.0,59.0,95.0,0.0,13628.0,1716.0,38.0,59.0,11082.0,50.0,1511.0,1909.0,10414.0,220.0,58.0,0.0,3500.0,14.0,2563.0,4014.0,72.0,3903.0,2827.0,3961.0,20.0,58.0,2081.0,1330.0,60.0,42.0,4519.0,1684.0,59.0,0.0,82.0,28.0,30.0,93.0,8.0,76.0,0.0,0.0,20.0,62.0,1942.0,0.0,1583.0,0.0,0.0,1022.0,4297.0,0.0,17.0,1443.0,22.0,11.0,0.0,67.0,21.0,2445.0,82.0,28.0,91.0,0.0,82.0,1526.0,32.0,21.0,1546.0,2130.0,826.0,34.0,59.0,1107.0,0.0,39.0,38.0,47.0,42.0,0.0,50.0,0.0,0.0,34.0,1404.0,39.0,81.0,0.0,17.0,131.0,1093.0,0.0,0.0,0.0,1089.0,228.0,0.0,7.0,0.0,1970.0,810.0,0.0,0.0,0.0,49.0,33.0,44.0,0.0,0.0,46.0,47.0,0.0,30.0,0.0,0.0,47.0,0.0,0.0,0.0,92.0,0.0,46.0,79.0,0.0,0.0,180.0,74.0,73.0,0.0,0.0,1462.0,9.0
2013-02-26,21.0,55004.0,2780.0,15.0,14988.0,27.0,8432.0,65198.0,4961.0,42.0,20334.0,37637.0,6095.0,27803.0,27893.0,14350.0,7.0,58768.0,12581.0,2850.0,24951.0,44.0,3155.0,16269.0,4394.0,19.0,12.0,2519.0,19.0,0.0,73.0,2148.0,120.0,27.0,19.0,28.0,8.0,10343.0,0.0,8421.0,20194.0,2331.0,2254.0,39.0,0.0,1584.0,1582.0,0.0,19.0,26.0,35.0,50961.0,33161.0,38.0,1985.0,25.0,38.0,114.0,0.0,12846.0,1483.0,27.0,45.0,12888.0,36.0,1299.0,1729.0,10029.0,489.0,21.0,3.0,3291.0,7.0,2174.0,3477.0,53.0,4029.0,5041.0,3776.0,24.0,33.0,3986.0,1136.0,33.0,29.0,3774.0,1446.0,22.0,0.0,89.0,15.0,54.0,44.0,6.0,31.0,0.0,0.0,27.0,43.0,1909.0,0.0,1788.0,0.0,1.0,1427.0,4474.0,0.0,5.0,1336.0,11.0,16.0,2.0,42.0,71.0,2352.0,51.0,17.0,74.0,8.0,80.0,1580.0,33.0,24.0,1681.0,1831.0,968.0,35.0,49.0,1076.0,0.0,15.0,16.0,16.0,22.0,0.0,37.0,1.0,0.0,52.0,1128.0,42.0,84.0,11.0,8.0,101.0,1049.0,15.0,0.0,1.0,1076.0,81.0,0.0,18.0,0.0,2099.0,772.0,0.0,0.0,0.0,45.0,20.0,40.0,1.0,0.0,33.0,53.0,0.0,33.0,0.0,0.0,53.0,4.0,12.0,0.0,77.0,0.0,49.0,44.0,38.0,0.0,159.0,52.0,86.0,8.0,0.0,244.0,3.0
2013-03-05,16.0,61764.0,2558.0,16.0,14584.0,26.0,7516.0,62917.0,4610.0,26.0,20586.0,37175.0,5479.0,30092.0,0.0,13294.0,18.0,66612.0,11232.0,2486.0,26956.0,34.0,2955.0,15553.0,3864.0,12.0,16.0,2231.0,8.0,26.0,60.0,1953.0,54.0,19.0,24.0,19.0,12.0,9162.0,16.0,7934.0,20350.0,2013.0,1911.0,27.0,13.0,1462.0,1371.0,0.0,15.0,33.0,58.0,55020.0,35601.0,44.0,1752.0,18.0,38.0,83.0,1935.0,11421.0,1189.0,30.0,35.0,12111.0,23.0,1075.0,1499.0,9127.0,636.0,24.0,30.0,2730.0,9.0,1917.0,3236.0,30.0,3748.0,4535.0,3380.0,26.0,9.0,3765.0,953.0,10.0,19.0,3209.0,1187.0,20.0,12.0,42.0,5.0,16.0,36.0,6.0,12.0,28.0,15.0,15.0,44.0,1656.0,45.0,1616.0,58.0,23.0,1331.0,3955.0,51.0,5.0,1211.0,9.0,15.0,21.0,54.0,1257.0,2202.0,30.0,13.0,61.0,60.0,24.0,1361.0,21.0,15.0,1453.0,1684.0,830.0,23.0,36.0,853.0,7.0,23.0,10.0,21.0,25.0,22.0,7.0,31.0,20.0,35.0,983.0,31.0,55.0,42.0,7.0,28.0,854.0,9.0,40.0,9.0,949.0,40.0,17.0,12.0,30.0,1856.0,652.0,103.0,32.0,6.0,13.0,24.0,32.0,21.0,34.0,19.0,11.0,50.0,36.0,21.0,34.0,23.0,37.0,37.0,54.0,35.0,140.0,22.0,16.0,26.0,7.0,279.0,73.0,58.0,51.0,25.0,78.0,6.0
